"Country","Life Expectancy","GDP per Capita","Health Infrastructure (Doctors)","Government Effectiveness Score","Education Level","Death Rate","COVID-19 Cumulative Cases","COVID-19 Cumulative Deaths"
"Singapore",85.2,61273.99166,12967,2.174524,0.97034,3.5,1318984,1393
"Andorra",82.9,37207.23887,260,1.238614,1,7.3,43067,153
"Italy",82.3,31922.91916,241136,0.2356188,0.99616,10.4,17490451,166922
"Spain",81.8,26984.29628,180633,0.613507,0.99038,9.1,12520475,108488
"Greece",80.7,17617.29151,57909,-0.0660259,0.9887,11.3,3476433,29942
"Malta",80.5,29597.63616,1240,0.5799018,1.03203,9.4,95286,744
"Portugal",79.4,22242.40642,52718,0.8498304,0.97657,11.1,4827263,23424
"Bahrain",79,23433.18724,1270,-0.1472867,0.96138,2.8,588070,1488
"Chile",78.9,13173.78479,48531,1.012118,0.99848,6.2,3739796,57955
"Qatar",78.9,52315.66008,6913,0.7248945,1.01682,1.5,369636,677
"Cyprus",78.8,28281.42578,2283,0.6399662,0.991760015487671,6.8,491777,1067
"Panama",78.8,13293.3332,6333,-0.567027,0.98867,4.9,868796,8267
"Cuba",78.8,9499.572504,95487,0.1654153,1.0011500120163,8.7,1105443,8529
"Costa Rica",78.7,12179.25667,14468,0.5517608,1.00125,4.7,904934,8525
"Albania",78.5,5343.037704,3511,-0.5218667,0.99236,6.8,276274,3497
"Dominican Republic",78.3,7167.914974,14983,-0.74949,0.99969,4.7,586099,4377
"Slovenia",78.3,25558.42905,6408,0.8702175,0.999660015106201,11.6,1026403,7812
"Kuwait",78.2,24297.7108,10150,-0.2894283,0.98178,2.2,634167,2555
"Poland",77.8,15816.8204,90284,0.6414219,0.997529983520508,10.4,6008153,116347
"Lebanon",77.8,5599.957523,14431,-1.108917,0.96335,5,1099745,10435
"United Arab Emirates",77.7,37629.17417,24345,1.151608,1.02746,1.9,910338,2305
"Uruguay",77.4,15650.4993,17456,1.265534,1.00647,9.4,934961,7262
"Paraguay",77.4,5353.348065,9421,-0.8474646,0.98963,4.8,651268,18911
"Argentina",77.3,8500.837939,175313,-0.0834675,1.00126,7.5,9276618,128973
"Morocco",77.1,3258.269043,26003,-0.2164034,0.77539,4.9,1169920,16079
"Algeria",77,3354.153164,72604,-0.636465,0.86159,4.3,265896,6875
"Ecuador",77,5645.19929,33589,-0.5617972,0.98195,5.1,883224,35649
"Bosnia and Herzegovina",76.9,6095.104237,7413,-0.5718023,0.978569984436035,10,377979,15788
"Sri Lanka",76.9,3852.389091,21316,-0.3355435,0.97869,6.2,663869,16518
"Estonia",76.9,23595.24368,5931,1.506318,0.99958997964859,12.6,562614,2458
"Antigua and Barbuda",76.7,15224.85859,282,0.2766346,1.01037,5.7,8332,138
"Libya",76.7,7034.658364,13757,-1.552711,0.88467001914978,3.6,502040,6430
"Georgia",76.4,4255.742993,28501,0.7079911,0.99856,10.9,1657729,16778
"Tonga",76.4,4605.970841,55,-0.0708953,1.00125,4.9,11769,12
"Croatia",76.1,14269.90885,12624,0.1316391,0.992649972438812,12.2,1137864,15998
"Mexico",76.1,8894.89065,297307,-0.8628517,0.98312,5.3,5825774,326143
"Hungary",76.1,16125.60941,33078,0.053347,0.999750018119812,12.8,1919840,46547
"Colombia",75.9,5304.289129,108499,-0.3014929,1.00492,5.5,6109105,139867
"Maldives",75.8,7216.816371,2353,-0.8930011,1.00838,4,179855,299
"Mauritius",75.8,9011.042884,3210,0.2696345,0.95725,7.1,227500,998
"Oman",75.7,16707.62301,9674,0.2460828,0.95571,3.3,389723,4628
"Serbia",75.7,7733.803469,27563,-0.3702148,0.98722,13.6,2018437,16087
"Tunisia",75.7,3497.719027,14892,-0.0534863,0.811789989471436,6.3,1042872,28641
"China",75.7,10408.71955,2828999,-0.2712442,0.96641,7.8,3392302,17702
"Saudi Arabia",75.5,20398.06099,88023,0.3596962,0.95472,3.4,770650,9155
"Romania",75.4,13047.45666,58583,-0.1216504,0.99487,12,2910392,65691
"Malaysia",75.2,10164.34443,46491,0.3139765,0.97276,5.1,4514989,35690
"Lithuania",75,20381.85578,17796,0.4978957,1.00039994716644,14.6,1155572,9149
"Armenia",74.9,4505.867742,12964,-0.3491127,0.99871,9.4,422963,8625
"El Salvador",74.9,3961.726633,9955,-0.5911077,0.95754,5.8,162755,4132
"Thailand",74.9,7001.78546,55890,-0.3988041,0.97086,8,4466793,30171
"Iraq",74.9,4251.337253,27208,-1.399408,0.8761,3.8,2328582,25220
"Seychelles",74.9,12020.02106,203,0.7026863,1.00984,7,44192,167
"Jordan",74.8,3998.673138,22739,0.1495421,0.99207,3.4,1697271,14068
"Bulgaria",74.7,10148.3424,29038,-0.1515335,0.993269979953766,14.5,1165807,37163
"Latvia",74.7,18096.20271,6225,0.3285871,1.00038,14.5,826960,6451
"Samoa",74,4042.722752,67,0.6423859,1.00292,5.3,14212,27
"Peru",74,6063.626923,40352,-0.5401052,0.94421,6.1,3583403,213228
"Uzbekistan",74,1759.307471,72237,-1.068714,0.99986,5.3,157537,1016
"Brazil",74,6923.699912,453351,-0.4196956,1.00447,6.7,31137479,666971
"Jamaica",73.7,4897.26475,3815,-0.1643905,1.10885000228882,6.8,138374,3073
"Vanuatu",73.7,2917.756849,46,-0.1629424,0.98188,4,10117,14
"Nicaragua",73.5,1876.607378,6320,-1.06336,1.00413,5.1,14538,239
"Palau",73.4,14349.31682,25,-0.5539093,0.99512,8.1,5083,6
"Bangladesh",73.4,2233.305901,93741,-0.9050215,0.92843,5.4,1953623,29131
"Marshall Islands",73.4,5545.600267,24,-0.0740994,0.99875807762146,4.2,18,0
"Trinidad and Tobago",73.1,13705.90023,5792,-0.317267,0.994499981403351,8.8,162441,3927
